experiment_id,timestamp,model,features,seed,split_seed,k,max_epochs,patience,train_size,validation_size,test_size,best_epoch,epochs_trained,stopped_early,validation_auc,test_auc,test_balanced_accuracy,training_time,parameter_count
20260831T083904550343Z_fixed_full_seed1,2026-08-31T08:39:04.550343+00:00,fixed,full,1,42,8,50,8,9732,2102,2078,13,21,True,0.8202017646743172,0.8253557191209402,0.7542347052183138,171.81634090002626,46081
20260831T084320983310Z_dynamic_full_seed1,2026-08-31T08:43:20.983310+00:00,dynamic,full,1,42,8,50,8,9732,2102,2078,9,17,True,0.8225637988792556,0.8307554475329463,0.7568549760880263,238.15330899995752,46081
20260831T084610784211Z_fixed_full_seed2,2026-08-31T08:46:10.784211+00:00,fixed,full,2,42,8,50,8,9732,2102,2078,11,19,True,0.8215452015730286,0.833652839104012,0.7558552061321813,154.9148554999847,46081
20260831T085023437406Z_dynamic_full_seed2,2026-08-31T08:50:23.437406+00:00,dynamic,full,2,42,8,50,8,9732,2102,2078,14,22,True,0.822824437136352,0.8323356664534471,0.7532689080279587,236.79622209991794,46081
20260831T085307316177Z_fixed_full_seed3,2026-08-31T08:53:07.316177+00:00,fixed,full,3,42,8,50,8,9732,2102,2078,17,25,True,0.8204010762826852,0.8308156278603855,0.7574582353380823,151.64872719999403,46081
20260831T085648213332Z_dynamic_full_seed3,2026-08-31T08:56:48.213332+00:00,dynamic,full,3,42,8,50,8,9732,2102,2078,12,20,True,0.8209012717613782,0.8322269536038795,0.7536828904417139,206.6552220999729,46081
20260831T085918923437Z_fixed_full_seed4,2026-08-31T08:59:18.923437+00:00,fixed,full,4,42,8,50,8,9732,2102,2078,15,23,True,0.8226883686344855,0.8301390845019155,0.7635437282877628,138.31111190002412,46081
20260831T090331661278Z_dynamic_full_seed4,2026-08-31T09:03:31.661278+00:00,dynamic,full,4,42,8,50,8,9732,2102,2078,15,23,True,0.8184232918611872,0.8325210606879776,0.7561740648025648,239.06687970005441,46081
20260831T090613563720Z_fixed_full_seed5,2026-08-31T09:06:13.563720+00:00,fixed,full,5,42,8,50,8,9732,2102,2078,15,23,True,0.8204719852202776,0.8321172701038694,0.7528549256142034,149.23472519998904,46081
20260831T091118988411Z_dynamic_full_seed5,2026-08-31T09:11:18.988411+00:00,dynamic,full,5,42,8,50,8,9732,2102,2078,14,22,True,0.8248031797867366,0.8315232320330177,0.7587079477828889,288.298730099923,46081
